,Airport,Name,City,Latitude,Longitude,origin_count,dest_count,Total_Flights
287,SDF,Louisville International Airport,Louisville,38.1740858,-85.7364989,35406.0,35394.0,70800.0
288,SEA,Seattle Tacoma Intl,Seattle,47.449,-122.309306,362626.0,362641.0,725267.0
289,SFO,San Francisco Intl,San Francisco,37.618972,-122.374889,501429.0,501417.0,1002846.0
290,SGF,Springfield Branson Natl,Springfield,37.245667,-93.388639,16277.0,16271.0,32548.0
291,SGU,St George Muni,Saint George,37.090583,-113.593056,5858.0,5858.0,11716.0
292,SHV,Shreveport Rgnl,Shreveport,32.446629,-93.8256,19471.0,19473.0,38944.0
293,SIT,Sitka Rocky Gutierrez,Sitka,57.047138,-135.361611,4080.0,4080.0,8160.0
294,SJC,Norman Y Mineta San Jose Intl,San Jose,37.3626,-121.929022,126058.0,126059.0,252117.0
295,SJT,San Angelo Rgnl Mathis Fld,San Angelo,31.35775,-100.496306,4559.0,4559.0,9118.0
296,SJU,Luis Munoz Marin Intl,San Juan,18.439417,-66.001833,79299.0,79297.0,158596.0
297,SLC,Salt Lake City Intl,Salt Lake City,40.788389,-111.977772,323378.0,323397.0,646775.0
298,SMF,Sacramento Intl,Sacramento,38.695417,-121.590778,124198.0,124197.0,248395.0
299,SMX,Santa Maria Pub Cpt G Allan Hancock Airport,Santa Maria,34.8989,-120.457,2504.0,2503.0,5007.0
300,SNA,John Wayne Arpt Orange Co,Santa Ana,33.675667,-117.868222,122452.0,122449.0,244901.0
301,SPI,Abraham Lincoln Capital,Springfield,39.8441,-89.677889,5253.0,5253.0,10506.0
302,SPN,Francisco C Ada Saipan Intl,Saipan,15.119003,145.729356,2.0,2.0,4.0
303,SPS,Sheppard Afb Wichita Falls Muni,Wichita Falls,33.988797,-98.491894,3652.0,3653.0,7305.0
304,SRQ,Sarasota Bradenton Intl,Sarasota,27.395444,-82.554389,10713.0,10715.0,21428.0
305,STC,Saint Cloud Regional Airport,Saint Cloud,45.546556,-94.059889,550.0,550.0,1100.0
306,STL,Lambert St Louis Intl,St. Louis,38.748697,-90.370028,159265.0,159250.0,318515.0
307,STT,Cyril E King,St. Thomas,18.337306,-64.973361,13787.0,13786.0,27573.0
308,STX,Henry E Rohlsen,St. Croix Island,17.701889,-64.798556,3045.0,3046.0,6091.0
309,SUN,Friedman Mem,Hailey,43.504444,-114.296194,3373.0,3397.0,6770.0
310,SUX,Sioux Gateway Col Bud Day Fld,Sioux City,42.402603,-96.384367,1414.0,1414.0,2828.0
311,SWF,Stewart Intl,Newburgh,41.504094,-74.104839,2243.0,2230.0,4473.0
312,SYR,Syracuse Hancock Intl,Syracuse,43.111187,-76.106311,18592.0,18589.0,37181.0
313,TLH,Tallahassee Rgnl,Tallahassee,30.396528,-84.350333,10463.0,10466.0,20929.0
314,TOL,Toledo,Toledo,41.586806,-83.807833,2066.0,2066.0,4132.0
315,TPA,Tampa Intl,Tampa,27.975472,-82.53325,201888.0,201890.0,403778.0
316,TRI,Tri-Cities Regional Airport,BRISTOL,36.4752222,-82.4074167,6385.0,6380.0,12765.0
317,TTN,Trenton Mercer,Trenton,40.276692,-74.813469,8319.0,8331.0,16650.0
318,TUL,Tulsa Intl,Tulsa,36.198389,-95.888111,47531.0,47526.0,95057.0
319,TUS,Tucson Intl,Tucson,32.116083,-110.941028,49010.0,49015.0,98025.0
320,TVC,Cherry Capital Airport,Traverse City,44.741445,-85.582235,7729.0,7729.0,15458.0
321,TWF,Magic Valley Regional Airport,Twin Falls,42.481803,-114.487733,3012.0,2910.0,5922.0
322,TXK,Texarkana Rgnl Webb Fld,Texarkana,33.453722,-93.991028,2972.0,2971.0,5943.0
323,TYR,Tyler Pounds Rgnl,Tyler,32.354139,-95.402386,5598.0,5597.0,11195.0
324,TYS,Mc Ghee Tyson,Knoxville,35.810972,-83.994028,23542.0,23545.0,47087.0
325,UST,St. Augustine Airport,St. Augustine Airport,29.959167,-81.339722,540.0,540.0,1080.0
326,VEL,Vernal Regional Airport,Vernal,40.440833,-109.51,724.0,724.0,1448.0
327,VLD,Valdosta Regional Airport,Valdosta,30.7825,-83.2767,3074.0,3076.0,6150.0
328,VPS,Eglin Afb,Valparaiso,30.48325,-86.5254,14555.0,14554.0,29109.0
329,WRG,Wrangell Airport,Wrangell,56.4843,-132.37,2180.0,2180.0,4360.0
330,WYS,Yellowstone Airport,West Yellowstone,44.688333,-111.1175,701.0,701.0,1402.0
331,XNA,NW Arkansas Regional,Bentonville,36.2818694,-94.3068111,26482.0,26485.0,52967.0
332,YAK,Yakutat,Yakutat,59.3012,-139.3937,2173.0,2172.0,4345.0
333,YUM,Yuma Mcas Yuma Intl,Yuma,32.656578,-114.60598,6952.0,6952.0,13904.0
